timeoff,Urology Publication,Total Publications
1,61,62
1,8,15
1,5,9
1,30,32
1,3,10
1,19,19
1,12,17
1,27,27
1,19,20
1,1,7
1,39,39
1,0,5
1,26,30
1,12,16
1,0,33
1,9,14
1,0,16
1,10,10
1,23,23
1,18,27
1,12,22
1,15,20
1,0,1
1,15,20
1,8,9
1,18,19
0,1,14
0,12,28
0,1,2
0,0,6
0,0,8
0,7,7
0,0,7
0,10,23
0,10,12
0,0,2
0,0,5
0,2,6
0,3,10
0,18,24
0,4,4
0,2,11
0,3,10
0,0,2
0,0,4
0,8,8
0,10,15
0,3,7
0,0,10
0,4,5
0,2,14
0,4,14
0,1,11
0,1,1
0,5,5
0,0,13
0,2,5
0,4,5
0,3,17
0,0,23
0,1,6
0,3,6
0,2,12
0,0,5
0,3,6
0,5,5
0,29,30
0,18,19
0,16,17
0,9,13
0,3,8
0,3,9
0,0,2
0,6,8
0,0,0
0,0,6
0,2,5
0,5,12
0,1,4
0,7,7
0,2,7
0,1,4
0,5,9
0,6,7
0,0,3
0,8,11
0,3,12
0,0,21
0,2,9
0,10,16
0,1,3
0,2,11
0,8,9
0,11,12
0,2,7
0,6,13
0,3,18
0,0,1
0,6,13
0,0,2
0,0,0
0,1,5
0,6,6
0,2,13
0,3,3
0,5,9
0,0,3
0,13,16
0,5,10
0,3,20
0,2,3
0,7,17
0,2,5
0,4,4
0,1,9
0,1,2
0,0,15
0,18,29
0,12,13
0,5,12
0,59,59
0,5,7
0,2,8
0,10,13
0,21,21
0,2,2
0,0,1
0,8,12
0,9,10
0,3,6
0,7,11
0,3,10
0,4,6
0,7,16
0,9,10
0,7,22
0,2,9
0,0,12
0,0,6
0,4,16
0,8,13
0,1,1
0,2,8
0,0,12
0,5,6
0,10,11
0,1,6
0,0,7
0,6,8
0,4,4
0,5,10
0,0,12
0,6,7
0,6,11
0,6,12
0,3,4
0,6,14
0,5,6
0,7,7
0,6,6
0,2,5
0,2,12
0,1,4
0,10,10
0,6,20
0,4,4
0,8,9
0,1,14
0,10,18
0,6,16
0,3,7
0,0,9
0,5,16
0,2,8
0,2,2
0,0,13
0,2,7
0,1,4
0,7,19
0,6,8
0,4,7
0,2,4
0,2,4
0,11,14
0,2,6
0,10,10
0,5,15
0,0,1
